Model	Epoch	Train Loss	Test Loss	Test Accuracy
vgg_a	1	2.2998	0.0180	18.02%
vgg_a	2	1.8858	0.0127	39.24%
vgg_a	3	1.5317	0.0112	46.67%
vgg_a	4	1.3331	0.0098	55.60%
vgg_a	5	1.1718	0.0086	60.27%
vgg_a	6	1.0109	0.0076	65.96%
vgg_a	7	0.8872	0.0071	68.23%
vgg_a	8	0.7802	0.0063	72.62%
vgg_a	9	0.6898	0.0060	74.22%
vgg_a	10	0.6212	0.0054	76.56%
vgg_a	11	0.5427	0.0055	76.19%
vgg_a	12	0.4868	0.0051	77.93%
vgg_a	13	0.4177	0.0048	79.65%
vgg_a	14	0.3658	0.0053	78.04%
vgg_a	15	0.3027	0.0050	79.22%
vgg_a	16	0.2576	0.0054	78.32%
vgg_a	17	0.1987	0.0053	79.02%
vgg_a	18	0.1634	0.0054	80.77%
vgg_a	19	0.1261	0.0058	80.35%
vgg_a	20	0.0953	0.0060	80.43%
vgg_a_bn	1	1.1605	0.0077	65.77%
vgg_a_bn	2	0.7169	0.0058	74.68%
vgg_a_bn	3	0.5443	0.0052	77.03%
vgg_a_bn	4	0.4236	0.0055	77.09%
vgg_a_bn	5	0.3325	0.0050	79.84%
vgg_a_bn	6	0.2479	0.0051	80.10%
vgg_a_bn	7	0.1883	0.0063	77.97%
vgg_a_bn	8	0.1470	0.0060	79.44%
vgg_a_bn	9	0.1111	0.0065	80.10%
vgg_a_bn	10	0.1011	0.0064	80.37%
vgg_a_bn	11	0.0546	0.0066	80.75%
vgg_a_bn	12	0.0543	0.0062	81.99%
vgg_a_bn	13	0.0473	0.0081	78.62%
vgg_a_bn	14	0.0381	0.0078	79.28%
vgg_a_bn	15	0.0318	0.0086	79.50%
vgg_a_bn	16	0.0200	0.0069	82.16%
vgg_a_bn	17	0.0231	0.0070	82.56%
vgg_a_bn	18	0.0339	0.0070	81.79%
vgg_a_bn	19	0.0334	0.0068	81.85%
vgg_a_bn	20	0.0166	0.0072	82.03%

Best Accuracies:
vgg_a: 80.77%
vgg_a_bn: 82.56%
